,File_List,Header,Text
118,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_34.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_35.png']",(ACCOUSTICAL PRODUCTS &,"ENGINEERING) 25 Eagle St (02908), Tel 272-8880"
119,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_37.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_38.png']",' ADJUSTERS,Allied Adjustment Serv Inc 131 Washington St Rm 211
120,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_40.png']",' ADJUSTERS,General Adjustment Bureau Inc 373 Elmwood Av Rm 107
121,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_41.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_42.png']",' ADJUSTERS,Nappi Lou Adjustment Bureau 1991 Smith St (N Prov)
122,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_43.png'],' ADJUSTERS,Pellegrino vincent Adjusters 38 Pontiac Av
123,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_45.png']",' ADJUSTERS,Pelletier & Rourke 111 Westminster St Rm
124,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_46.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_47.png']",' ADJUSTERS,Peterson Evert M L 111 Westminster St Rm 401
125,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_48.png'],' ADJUSTERS,Underwriters Adjusting Co 630 Howard Bldg
126,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_50.png'],ADOPTION AGENCIES,Baker Advertising Associates 85 Arnold St
127,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_52.png'],ADVERTISING AGENCIES,A M B M E Advertising Agency 910 Smith St
128,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_53.png'],ADVERTISING AGENCIES,Adgroup Inc 293 S Main St Suite 212
129,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_54.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_55.png']",ADVERTISING AGENCIES,Albrektson Studios Inc 146 Westminster St Rm 403
130,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_56.png'],ADVERTISING AGENCIES,Alden Advertising Inc 212 Union St Rm 402
131,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_57.png'],ADVERTISING AGENCIES,All Media Associates 84 Ledge St
132,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_58.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_59.png']",ADVERTISING AGENCIES,Archetto Robt Associates Inc 170 Westminster St Rm 1110
133,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_60.png'],ADVERTISING AGENCIES,Arthur Ruth I 17 Exchange St Rm 421
134,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_61.png'],ADVERTISING AGENCIES,Benell Advertising Co 135 Dean St
135,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_62.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_63.png']",ADVERTISING AGENCIES,Bogh Advertising Photography 236 5 Westminster St Rm 504
136,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_64.png'],ADVERTISING AGENCIES,Bradley Wm J 46 Clym St
137,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_65.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_66.png']",ADVERTISING AGENCIES,Challenge Advertising Inc 146 Westminster St Rm 206
138,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_67.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_68.png']",ADVERTISING AGENCIES,Creamer-F S R Inc 40 Westminster St Rm 1600
139,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_69.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_70.png']",ADVERTISING AGENCIES,Dietz J H Advertising Inc 269 S Main St Suite 207
140,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_71.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_72.png']",ADVERTISING AGENCIES,Duffy & Shanley Inc 1 Jackson Walkway Suite 16
141,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_73.png'],ADVERTISING AGENCIES,Fern Hanaway Inc 270 Elmwood Av
